fullState,state,lessHS,hs,bach,bingeDrinkers,disabled,cantAffordDr,smokers
Alabama,AL,16.1,32.5,6.8,12,27.9,17.4,21.1
Alaska,AK,14.5,37.3,7,20.2,19.3,11.9,19.9
Arizona,AZ,17,31.7,6.9,14.9,21.6,15.5,16.5
Arkansas,AR,14.2,32.7,7.4,13.3,27,18.2,24.7
California,CA,13,28.8,9.5,15.6,19.9,13.5,12.9
Colorado,CO,12.7,27.8,11.2,17.5,20.3,13.1,15.7
Connecticut,CT,11.8,29.9,14.1,15.9,19.8,11.3,15.4
Delaware,DE,15.3,31,8.5,15.7,21,10.8,19.9
District of Columbia,DC,11.7,25.9,23.7,24.9,15.9,10.5,16.4
Florida,FL,16.5,30.2,8.2,15,22.4,17.6,17.7
Georgia,GA,16.9,32,8.2,14.2,20.4,19,17.4
Hawaii,HI,8.5,39.4,7.5,19.7,15.2,8.7,14.1
Idaho,ID,14.1,34.9,5.5,14.8,20.4,15.8,15.9
Illinois,IL,12.8,28.1,12.9,20.2,17.6,12.4,16.5
Indiana,IN,17,31.3,9,14.8,22.2,15.1,22.9
Iowa,IA,10.7,27.9,9.8,21.4,19.3,8.8,18.5
Kansas,KS,12.7,27.2,10.3,15.8,20.1,12.5,18.1
Kentucky,KY,13.3,33.8,8.4,12.7,27.6,15.9,26.2
Louisiana,LA,19.2,32,7.2,16,22.7,17.5,24
Maine,ME,11.9,29.6,10.9,17,24.4,10.9,19.3
Maryland,MD,12.2,30.4,12.7,15.4,17.3,10.1,14.6
Massachusetts,MA,10.2,27.6,17.2,17.4,22,8.3,14.7
Michigan,MI,13.1,28.6,9.7,18.9,22.5,14.6,21.2
Minnesota,MN,12,27.2,12.8,19.5,17,9.2,16.3
Mississippi,MS,17.9,29.1,5.7,12.8,24.3,19.4,23
Missouri,MO,13.2,29.2,9.2,15.1,23.2,13.7,20.6
Montana,MT,13.3,34.9,6.7,18.9,23.1,11.9,19.9
Nebraska,NE,10.6,27.7,10.9,20.3,18.3,11.8,17.3
Nevada,NV,18.2,36.2,5.4,16,20.2,17.3,17
New Hampshire,NH,11.4,29.4,12,16.8,19.7,11.1,17.5
New Jersey,NJ,12.1,28,14.4,15.8,16.3,14,15.1
New Mexico,NM,18.3,29.8,5,13.7,23.4,17.2,19.2
New York,NY,12.8,25.8,15.1,15,19.3,14,14.4
North Carolina,NC,13.8,30.9,9.5,13.6,21.5,16.2,19.1
North Dakota,ND,10.9,23.3,12.9,24,16.2,7,19.9
Ohio,OH,13.7,32.6,9.5,18.1,22.4,13.1,21
Oklahoma,OK,16.6,33.3,7.1,12.9,25.9,15,21.1
Oregon,OR,13.6,29,7.6,16.6,25.6,14.4,17
Pennsylvania,PA,12,32.3,12.1,16.7,21.9,11.8,19.9
Rhode Island,RI,11.2,29.2,12.1,18.4,20.1,11.9,16.3
South Carolina,SC,14.5,30.9,8.4,14.1,24.3,18.1,21.5
South Dakota,SD,16,30.6,7.1,17.4,19.5,10,18.6
Tennessee,TN,12.9,35.9,8.8,10.6,25.9,15.5,24.2
Texas,TX,16.3,31.6,7.8,16.3,17,17.6,14.5
Utah,UT,14.1,29.2,6.6,11.4,17.9,14.3,9.7
Vermont,VT,8.6,32.1,12.7,17.9,21.8,9.1,16.4
Virginia,VA,10.8,30.1,12.1,15.2,18.6,13.1,19.5
Washington,WA,15.2,31.6,10.6,17.1,23.9,12.3,15.3
West Virginia,WV,14.2,35.3,6.9,9.6,29.1,16.5,26.7
Wisconsin,WI,11.1,32,10.5,22.1,20.2,10.6,17.4
Wyoming,WY,12,33,6.6,17.2,19.9,11.8,19.5
Puerto Rico,PR,11,28.9,7.6,13.2,19.5,12.2,11.3
